Art	k	Similarity(avg)	Zeit_compare_median(ms)	Error(MAE)	Sec/Res Compare
Jaccard	-	0,00244946929728794	3,0748999999999853	0	0,000004857661927330151
MinHash	1	0,001579778830963665	0,003794999999996662	0,004012169438187131	5,995260663501836e-9
MinHash	32	0,0020734597156398106	0,04098500000000342	0,003686532304340244	6,474723538705122e-8
MinHash	128	0,002394352290679305	0,1267600000000016	0,0022032743956384515	2,002527646129567e-7
MinHash	256	0,002388181279620853	0,23555000000000065	0,0015222254782127982	3,7211690363349236e-7
MinHash	1024	0,002385095774091627	0,9036349999999971	0,0008259023349504629	0,0000014275434439178468
MinHash	2048	0,0024136367002369668	1,8213599999999928	0,0005361578833239314	0,0000028773459715639697
MinHash	3072	0,002470461427066876	2,939499999999998	0,0005094130390309386	0,00000464375987361769
MinHash	4096	0,0024645475414691942	3,6491150000000063	0,00039264723375348546	0,000005764794628751985
MinHash	16384	0,002410261928564376	15,279120000000013	0,0002370741983336286	0,000024137630331753576
MinHash	32768	0,0024471433618434043	31,48243500000008	0,00018888099332357391	0,000049735284360189696
