Art	k	Similarity(avg)	Zeit_compare_median(ms)	Error(MAE)	Sec/Res Compare
Jaccard	-	0,002384009923910859	0,6774000000000058	0	0,00000285822784810129
MinHash	1	0,004219409282700422	0,0013800000000003365	0,006481117488272145	5,822784810128001e-9
MinHash	32	0,0032964135021097047	0,015444999999999709	0,004092248255016553	6,516877637130678e-8
MinHash	128	0,002736023206751055	0,04746999999999843	0,0013485811908693025	2,002953586497824e-7
MinHash	256	0,002488792194092827	0,0905050000000017	0,0007100802277432712	3,8187763713080887e-7
MinHash	1024	0,0024434665084388184	0,3357200000000006	0,0005797166285565775	0,000001416540084388188
MinHash	2048	0,0023775382383966243	0,6835999999999955	0,00035010231849114614	0,00000288438818565399
MinHash	3072	0,0023335860583684944	1,0133800000000006	0,00036174725749316426	0,000004275864978902956
MinHash	4096	0,0023960805643459915	1,3749250000000075	0,0003367852856837103	0,000005801371308016909
MinHash	16384	0,002486216871044304	5,743534999999997	0,00019558293557975378	0,000024234324894514753
MinHash	32768	0,0024417925484572786	11,242515000000003	0,00018664581813092942	0,00004743677215189875
